Year,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole
1984,California,0.589,0.572,0.493,9796375,9505423,16618345,19270739,0.134,43197,0,30645
1984,Colorado,0.592,0.571,0.557,1343437,1295380,2267668,2325829,0.023,3231,0,1709
1984,Connecticut,0.648,0.638,0.603,1490946,1466900,2300533,2431057,0.041,5718,46681,868
1984,Delaware,0.584,0.575,0.559,258182,254572,442354,455312,0.015,2202,6373,830
1984,District of Columbia,0.465,0.448,0.418,219193,211288,471669,505550,0.058,4521,0,0
1984,Florida,,0.524,0.483,,4180051,7976805,8656427,0.068,26914,118318,5661
1984,Georgia,,0.431,0.419,,1776120,4119852,4243165,0.013,15404,90057,7246
1984,Hawaii,0.503,0.484,0.447,349253,335846,694187,750909,0.073,1965,0,0
1984,Idaho,0.637,0.62,0.608,421935,411144,662771,675772,0.017,1253,0,0
1984,Illinois,0.627,0.608,0.579,4969352,4819088,7922605,8327065,0.047,17114,0,0
1984,Indiana,0.579,0.57,0.564,2268493,2233069,3916362,3960870,0.009,9328,0,0
1984,Iowa,0.651,0.641,0.633,1339886,1319805,2057482,2084995,0.008,2836,11924,1662
1984,Kansas,,0.584,0.574,,1021991,1751223,1779487,0.013,4244,0,0
1984,Kentucky,,0.518,0.512,,1369345,2643027,2672424,0.005,4820,15004,3567
1984,Louisiana,,0.565,0.556,,1706822,3019930,3072074,0.013,13659,0,0
1984,Maine,,0.658,0.649,,553144,840251,852022,0.014,0,0,0
1984,Maryland,0.545,0.538,0.511,1695924,1675873,3113967,3278321,0.034,13124,64827,7046
1984,Massachusetts,0.607,0.599,0.57,2595054,2559453,4273437,4486676,0.048,0,0,0
1984,Michigan,0.606,0.593,0.58,3884854,3801658,6407156,6550877,0.02,14604,0,0
1984,Minnesota,0.709,0.699,0.686,2115317,2084449,2982015,3039490,0.013,2167,31440,1418
1984,Mississippi,,0.533,0.527,,941104,1766654,1787243,0.005,6115,6570,3108
1984,Missouri,,0.587,0.578,,2122783,3617948,3671506,0.008,8770,23574,4366
1984,Montana,0.682,0.664,0.658,395006,384377,578925,584162,0.007,964,0,0
1984,Nebraska,0.591,0.575,0.566,670781,652090,1135012,1152310,0.009,1665,10763,361
1984,Nevada,0.448,0.436,0.411,294413,286667,656862,697185,0.047,3488,5226,1187
1984,New Hampshire,0.566,0.541,0.531,406608,388904,718967,732480,0.018,581,0,0
1984,New Jersey,0.605,0.605,0.565,3215941,3217862,5318696,5699440,0.059,10363,44208,12206
1984,New Mexico,0.546,0.538,0.519,522328,514370,956246,990632,0.029,2129,3926,1194
1984,New York,0.572,0.556,0.509,7000828,6806810,12232120,13373558,0.081,33109,0,24212
1984,North Carolina,,0.482,0.473,,2175361,4512013,4598151,0.009,16371,52600,3892
1984,North Dakota,0.672,0.64,0.635,324179,308971,482655,486449,0.007,432,0,0
1984,Ohio,0.603,0.588,0.58,4664223,4547619,7732456,7836806,0.011,18619,0,0
1984,Oklahoma,0.555,0.54,0.529,1290555,1255676,2324445,2373014,0.012,7872,18809,1880
1984,Oregon,0.664,0.643,0.625,1265824,1226527,1906880,1962501,0.026,4224,0,0
1984,Pennsylvania,,0.551,0.543,,4844903,8790815,8918353,0.013,13090,0,0
1984,Rhode Island,0.606,0.588,0.555,422851,410492,697537,739064,0.049,1221,7147,394
1984,South Carolina,0.437,0.416,0.409,1018701,968529,2329080,2368236,0.007,9892,17043,3441
1984,South Dakota,,0.643,0.638,,317867,494651,497849,0.005,921,0,0
1984,Tennessee,,0.501,0.494,,1711994,3415760,3463234,0.006,7307,23598,6524
1984,Texas,,0.51,0.474,,5397571,10582774,11397758,0.054,36682,235568,40783
1984,Utah,0.643,0.63,0.616,641846,629656,998820,1022083,0.023,0,0,0
1984,Vermont,0.616,0.615,0.605,235140,234561,381479,387620,0.016,0,0,0
1984,Virginia,,0.524,0.507,,2146635,4100160,4234017,0.026,10839,16690,5986
1984,Washington,0.629,0.613,0.586,1931546,1883910,3072714,3213263,0.034,6821,39181,5253
1984,West Virginia,,0.529,0.525,,735742,1391427,1401733,0.004,1579,3597,724
1984,Wisconsin,,0.649,0.638,,2211689,3409202,3468053,0.011,4974,22426,3853
1984,Wyoming,0.579,0.558,0.549,196153,188968,338733,343957,0.01,724,1708,352
1982,Alabama,,0.406,0.401,,1128725,2780689,2813033,0.005,9233,14229,2266
1982,Alaska,0.649,0.634,0.615,199458,194885,307558,316787,0.022,1322,1816,101
1982,Arizona,0.368,0.36,0.344,742923,726364,2017098,2112246,0.038,6069,14949,1527
1982,Arkansas,,0.481,0.476,,789351,1639482,1656707,0.005,3922,3384,3061
1982,California,0.499,0.487,0.427,8064314,7876698,16161555,18448245,0.121,34640,0,18913
1982,Colorado,0.473,0.435,0.425,1037774,956021,2196263,2248839,0.021,3042,0,1202
1982,Connecticut,0.494,0.481,0.457,1112428,1084156,2253328,2369975,0.04,5156,33061,1311
1982,Delaware,0.455,0.444,0.433,195726,190960,430257,441374,0.014,2068,4626,621
1982,District of Columbia,,0.25,0.235,,117623,470719,500492,0.051,4081,0,0
1982,Florida,,0.355,0.33,,2688566,7565499,8139171,0.063,27830,57074,5974
