,academic_year,inst_name,city,state,zipcode,sector
47133,2008,Maria College of Albany,Albany,NY,12208,5
57009,2008,Marian Court College,Swampscott,MA,1907,5
15801,2008,Marian Health Careers Center,Los Angeles,CA,90010,9
78153,2008,Maricopa Community College System Office,Tempe,AZ,85281-6942,0
41571,2008,Marietta College,Marietta,OH,45750,2
13225,2008,Marion County Community Technical and Adult Education Center,Ocala,FL,34474-3172,4
78900,2008,Marion Military Institute,Marion,AL,36756,4
47120,2008,Marion S Whelan School of Nursing of Geneva General Hospital,Geneva,NY,14456-1651,8
41553,2008,Marion Technical College,Marion,OH,43302-5694,4
47107,2008,Marist College,Poughkeepsie,NY,12601,2
81425,2008,Marlboro College,Marlboro,VT,05344-0300,2
26567,2008,Marquette University,Milwaukee,WI,53233,2
44079,2008,Mars Hill College,Mars Hill,NC,28754,2
77309,2008,Marsha Kay Beauty College,Mountain Home,AR,72653-3164,9
81399,2008,Marshall University,Huntington,WV,25755,1
62139,2008,Marshalltown Community College,Marshalltown,IA,50158,4
44066,2008,Martin Community College,Williamston,NC,27892-9988,4
80002,2008,Martin Luther College,New Ulm,MN,56073-3965,2
33640,2008,Martin Methodist College,Pulaski,TN,38478-2799,2
63092,2008,Martin University,Indianapolis,IN,46218-0567,2
21890,2008,Martinez Adult Education,Martinez,CA,94553-3298,7
29133,2008,Mary Baldwin College,Staunton,VA,24401,2
55313,2008,Marygrove College,Detroit,MI,48221-2599,2
58217,2008,Maryland Beauty Academy of Essex,Baltimore,MD,21221-6702,9
58439,2008,Maryland Beauty Academy,Reisterstown,MD,21136-2331,9
58351,2008,Maryland Institute College of Art,Baltimore,MD,21217-4134,2
39386,2008,Marylhurst University,Marylhurst,OR,97036-0261,2
74251,2008,Marymount College,Rancho Palos Verdes,CA,90275-6299,5
47080,2008,Marymount Manhattan College,New York,NY,10021-4597,2
29104,2008,Marymount University,Arlington,VA,22207-4299,2
33627,2008,Maryville College,Maryville,TN,37804-5907,2
52316,2008,Maryville University of Saint Louis,Saint Louis,MO,63141-7299,2
37167,2008,Marywood University,Scranton,PA,18509-1598,2
56996,2008,Massachusetts Bay Community College,Wellesley Hills,MA,02481-5399,4
56650,2008,Massachusetts College of Liberal Arts,North Adams,MA,01247-4100,1
10191,2008,Massachusetts General Hospital Dietetic Internship,Boston,MA,02114-2696,2
56957,2008,Massachusetts Institute of Technology,Cambridge,MA,02139-4307,2
56944,2008,Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803,1
21846,2008,Massachusetts School of Law,Andover,MA,1810,2
56931,2008,Massachusetts School of Professional Psychology,Boston,MA,2132,2
80410,2008,Massasoit Community College,Brockton,MA,02302-3996,4
63079,2008,Masters of Cosmetology College,Fort Wayne,IN,46809-1305,6
44053,2008,Mayland Community College,Spruce Pine,NC,28777,4
43070,2008,Mayville State University,Mayville,ND,58257-1299,1
64982,2008,McCormick Theological Seminary,Chicago,IL,60615,2
58014,2008,McDaniel College,Westminster,MD,21157,2
44040,2008,McDowell Technical Community College,Marion,NC,28752-8728,4
64969,2008,McHenry County College,Crystal Lake,IL,60012-2761,4
31513,2008,McLennan Community College,Waco,TX,76708,4
31500,2008,McMurry University,Abilene,TX,79697,2
22331,2008,McNally Smith College of Music,Saint Paul,MN,55101-2220,3
59554,2008,McNeese State University,Lake Charles,LA,70609-2215,1
61124,2008,McPherson College,McPherson,KS,67460-1402,2
66667,2008,Med-Assist School of Hawaii Inc,Honolulu,HI,96813,9
47063,2008,Medaille College,Buffalo,NY,14214-2695,2
43057,2008,Medcenter One College of Nursing,Bismarck,ND,58501-4425,2
26537,2008,Medical College of Wisconsin,Milwaukee,WI,53226-0509,2
8690,2008,Medical Training College,Baton Rouge,LA,70816-5820,9
35056,2008,Medical University of South Carolina,Charleston,SC,29425-0100,1
41536,2008,Medina County Career Center,Medina,OH,44256,7
47050,2008,Memorial Hospital School of Nursing,Albany,NY,12204,5
47037,2008,Memorial Hospital School of Radiation Therapy Technology,New York,NY,10065,5
33575,2008,Memphis College of Art,Memphis,TN,38104-2764,2
33532,2008,Memphis Theological Seminary,Memphis,TN,38104-4395,2
74232,2008,Mendocino College,Ukiah,CA,95482,4
74219,2008,Menlo College,Atherton,CA,94027-4301,2
47024,2008,Merce Cunningham Studio,New York,NY,10014,5
74194,2008,Merced College,Merced,CA,95348-2898,4
22498,2008,Mercer County Career Center,Mercer,PA,16137,7
49616,2008,Mercer County Community College,West Windsor,NJ,08550-3407,4
81802,2008,Mercer University,Macon,GA,31207,2
62122,2008,Mercy College of Health Sciences,Des Moines,IA,50309-1239,2
10178,2008,Mercy Hospital School of Nursing,Pittsburgh,PA,15219-5166,5
13238,2008,Mercy Hospital School of Practical Nursing,Miami,FL,33133,8
44024,2008,Mercy School of Nursing,Charlotte,NC,28273,4
37128,2008,Mercyhurst College,Erie,PA,16546,2
44011,2008,Meredith College,Raleigh,NC,27607-5298,2
27140,2008,Meredith Manor International Equestrian Center,Waverly,WV,26184,6
53359,2008,Meridian Community College,Meridian,MS,39307-5801,4
22838,2008,Meridian Technology Center,Stillwater,OK,74074-1899,4
11542,2008,Merkaz Bnos-Business School,Brooklyn,NY,11214,5
52303,2008,Merrell University of Beauty Arts and Science,Jefferson City,MO,65109,9
63053,2008,Merrillville Beauty College,Merrillville,IN,46410,9
56900,2008,Merrimack College,North Andover,MA,1845,2
78140,2008,Mesa Community College,Mesa,AZ,85202,4
48730,2008,Mesalands Community College,Tucumcari,NM,88401-3352,4
47007,2008,Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,11218,2
46994,2008,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,11218,2
46981,2008,Mesivtha Tifereth Jerusalem of America,New York,NY,10002-6301,2
14222,2008,Messenger College,Joplin,MO,64804-4909,2
37115,2008,Messiah College,Grantham,PA,17027,2
64927,2008,Methodist College of Nursing,Peoria,IL,61603,2
23482,2008,Metro Technology Centers,Oklahoma City,OK,73111-5240,4
31462,2008,Metroplex Beauty School,Mesquite,TX,75149-3405,9
37094,2008,Metropolitan Career Center Computer Technology Institute,Philadelphia,PA,19110,5
48059,2008,Metropolitan College of New York,New York,NY,10013-1919,2
79622,2008,Metropolitan Community College Area,Omaha,NE,68111-1610,4
71565,2008,Metropolitan State College of Denver,Denver,CO,80217-3362,1
54249,2008,Metropolitan State University,Saint Paul,MN,55106-5000,1
69008,2008,Miami Dade College,Miami,FL,33132-2297,1
69028,2008,Miami Lakes Educational Center,Miami Lakes,FL,33014,4
81204,2008,Miami University-Oxford,Oxford,OH,45056,1
55271,2008,Michigan Barber School Inc,Detroit,MI,48204-2244,5
55813,2008,Michigan State University College of Law,East Lansing,MI,48824-1300,2
55258,2008,Michigan State University,East Lansing,MI,48824-1046,1
55245,2008,Michigan Technological University,Houghton,MI,49931-1295,1
68982,2008,Mid Florida Tech,Orlando,FL,32809,4
55206,2008,Mid Michigan Community College,Harrison,MI,48625-9447,4
24867,2008,Mid-America Christian University,Oklahoma City,OK,73170-9797,2
63021,2008,Mid-America College of Funeral Service,Jeffersonville,IN,47130,2
13787,2008,Mid-America Technology Center,Wayne,OK,73095-0210,7
12185,2008,Mid-Cities Barber College,Grand Prairie,TX,75051-4892,9
60369,2008,Mid-Continent University,Mayfield,KY,42066-9007,2
77275,2008,Mid-South Community College,West Memphis,AR,72301-3829,4
26512,2008,Mid-State Technical College,Wisconsin Rapids,WI,54494,4
61111,2008,MidAmerica Nazarene University,Olathe,KS,66062-1899,2
67225,2008,Middle Georgia College,Cochran,GA,31014-1599,1
67368,2008,Middle Georgia Technical College,Warner Robins,GA,31088,4
33479,2008,Middle Tennessee School of Anesthesia Inc,Madison,TN,37116,2
33492,2008,Middle Tennessee State University,Murfreesboro,TN,37132,1
87021,2008,Middlebury College,Middlebury,VT,5753,2
56874,2008,Middlesex Community College,Bedford,MA,01730-9124,4
70803,2008,Middlesex Community College,Middletown,CT,06457-4829,4
49597,2008,Middlesex County College,Edison,NJ,08818-3050,4
31449,2008,Midland College,Midland,TX,79705,1
35043,2008,Midlands Technical College,West Columbia,SC,29170,4
64914,2008,Midstate College,Peoria,IL,61614-3595,3
60356,2008,Midway College,Midway,KY,40347-1120,2
